Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,24-Jun-14,2268.85,2269,2319.5,2255,2314.9,2309.05,2290.32,739550,16938.05,50209,485167,65.6
TCS,EQ,25-Jun-14,2309.05,2310,2320,2293,2299.9,2310.55,2310.24,514211,11879.49,39929,308298,59.96
TCS,EQ,26-Jun-14,2310.55,2296,2344.15,2291.15,2304,2307.65,2312.57,1018091,23544.07,42206,712024,69.94
TCS,EQ,27-Jun-14,2307.65,2317,2406.9,2315,2400.1,2399.55,2383.97,1529418,36460.94,77416,893990,58.45
TCS,EQ,30-Jun-14,2399.55,2400.55,2435,2376.6,2413.95,2425.4,2413.97,1073235,25907.6,48687,611288,56.96
TCS,EQ,1-Jul-14,2425.4,2418.9,2419,2382.3,2391.3,2390.75,2396.4,546395,13093.83,33485,279483,51.15
TCS,EQ,2-Jul-14,2390.75,2400,2411.75,2383.5,2401.1,2401.6,2397.77,453870,10882.76,32033,264310,58.23
TCS,EQ,3-Jul-14,2401.6,2399,2445,2392,2410,2417.9,2421.16,763381,18482.64,64913,480272,62.91
TCS,EQ,4-Jul-14,2417.9,2412.4,2425.5,2401,2416.1,2410.5,2412.73,268068,6467.76,21597,133336,49.74
TCS,EQ,7-Jul-14,2410.5,2420.05,2498,2410.4,2490,2488.55,2473.31,1102451,27267.08,51992,643967,58.41
TCS,EQ,8-Jul-14,2488.55,2484.95,2486.15,2433.25,2444.5,2449.45,2458.25,1250294,30735.34,64334,860571,68.83
TCS,EQ,9-Jul-14,2449.45,2470,2472.65,2381.6,2400,2398.15,2420.77,777121,18812.34,40909,411940,53.01
TCS,EQ,10-Jul-14,2398.15,2399.55,2419.6,2335,2345.9,2351.8,2375.22,995281,23640.14,58688,581066,58.38
TCS,EQ,11-Jul-14,2351.8,2371,2410,2361.1,2410,2394.45,2391.33,664723,15895.71,47547,318792,47.96
TCS,EQ,14-Jul-14,2394.45,2418.8,2439,2385.25,2428,2426.25,2418.04,793962,19198.34,64400,456927,57.55
TCS,EQ,15-Jul-14,2426.25,2426.2,2430,2393.75,2400.95,2399.3,2404.15,694828,16704.74,38359,426286,61.35
TCS,EQ,16-Jul-14,2399.3,2409.65,2424,2386.85,2404,2401.85,2403.16,703620,16909.14,35318,357106,50.75
TCS,EQ,17-Jul-14,2401.85,2410,2429.8,2375,2379.95,2381.95,2395.45,895110,21441.88,55365,486803,54.38
TCS,EQ,18-Jul-14,2381.95,2452,2485,2435,2445,2441.2,2461.21,1753744,43163.28,65241,550472,31.39
TCS,EQ,21-Jul-14,2441.2,2468,2469.85,2443.05,2462,2463.75,2456.42,490536,12049.63,28243,286929,58.49
TCS,EQ,22-Jul-14,2463.75,2465,2540,2461.9,2530.15,2532.4,2496.09,1199508,29940.76,60679,656917,54.77
